trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 1, 'e': 0.9999998478983566}",20,0,-104.64139944555198,"{0: 13, 1: 1, 2: 3, 3: 2, 4: 1}",0
2,False,"{'a': 1, 'e': 0.999999830998174}",25,0,-114.97555473235096,"{0: 17, 1: 1, 2: 5, 3: 0, 4: 2}",0
3,False,"{'a': 1, 'e': 0.9999998122201933}",35,0,-90.66403576734814,"{0: 30, 1: 1, 2: 1, 3: 1, 4: 2}",0
4,False,"{'a': 1, 'e': 0.9999997913557703}",25,0,-90.30793638239554,"{0: 15, 1: 3, 2: 5, 3: 2, 4: 0}",0
5,False,"{'a': 1, 'e': 0.9999997681730782}",20,0,-218.34690128109085,"{0: 6, 1: 3, 2: 7, 3: 1, 4: 3}",0
6,False,"{'a': 1, 'e': 0.9999997424145314}",20,0,-81.07234207192913,"{0: 9, 1: 4, 2: 7, 3: 0, 4: 0}",0
7,False,"{'a': 1, 'e': 0.9999997137939237}",20,0,-78.31374150731176,"{0: 11, 1: 5, 2: 3, 3: 0, 4: 1}",0
8,False,"{'a': 1, 'e': 0.9999996819932485}",25,6,-55.76480388364356,"{0: 14, 1: 1, 2: 3, 3: 0, 4: 1}",1
9,False,"{'a': 1, 'e': 0.9999996466591651}",30,0,-88.37096743777148,"{0: 20, 1: 5, 2: 4, 3: 0, 4: 1}",0
10,False,"{'a': 1, 'e': 0.9999996073990722}",25,0,-81.80021905198195,"{0: 15, 1: 2, 2: 8, 3: 0, 4: 0}",0
11,False,"{'a': 1, 'e': 0.9999995637767469}",25,0,-139.99610134526117,"{0: 16, 1: 3, 2: 2, 3: 2, 4: 2}",0
12,False,"{'a': 1, 'e': 0.9999995153074966}",20,0,-169.11776484943263,"{0: 11, 1: 3, 2: 1, 3: 2, 4: 3}",0
13,False,"{'a': 1, 'e': 0.9999994614527741}",30,0,-155.68237750156297,"{0: 13, 1: 6, 2: 10, 3: 0, 4: 1}",0
14,False,"{'a': 1, 'e': 0.9999994016141934}",20,0,-142.43475587478474,"{0: 10, 1: 2, 2: 6, 3: 0, 4: 2}",0
15,False,"{'a': 1, 'e': 0.9999993351268816}",30,0,-144.91196894597374,"{0: 18, 1: 3, 2: 7, 3: 0, 4: 2}",0
16,False,"{'a': 1, 'e': 0.9999992612520906}",20,0,-163.5981586384598,"{0: 12, 1: 1, 2: 3, 3: 1, 4: 3}",0
17,False,"{'a': 1, 'e': 0.9999991791689895}",20,0,-120.72664369551387,"{0: 13, 1: 1, 2: 3, 3: 1, 4: 2}",0
18,False,"{'a': 1, 'e': 0.9999990879655439}",25,0,-182.8635860601511,"{0: 11, 1: 2, 2: 9, 3: 1, 4: 2}",0
19,False,"{'a': 1, 'e': 0.9999989866283822}",35,0,-66.75060472744251,"{0: 24, 1: 3, 2: 8, 3: 0, 4: 0}",0
20,False,"{'a': 1, 'e': 0.9999988740315358}",20,0,-107.19530047264337,"{0: 11, 1: 1, 2: 6, 3: 1, 4: 1}",0
21,False,"{'a': 1, 'e': 0.9999987489239286}",20,0,-76.63463477494284,"{0: 9, 1: 4, 2: 7, 3: 0, 4: 0}",1
22,False,"{'a': 1, 'e': 0.9999986099154762}",20,0,-35.27182246066198,"{0: 15, 1: 0, 2: 5, 3: 0, 4: 0}",0
23,False,"{'a': 1, 'e': 0.9999984554616402}",25,0,-238.8941534083873,"{0: 13, 1: 0, 2: 7, 3: 1, 4: 4}",0
24,False,"{'a': 1, 'e': 0.999998283846267}",30,0,-131.92236696524606,"{0: 19, 1: 2, 2: 5, 3: 3, 4: 1}",0
25,False,"{'a': 1, 'e': 0.9999980931625189}",30,0,-102.623565617728,"{0: 18, 1: 7, 2: 3, 3: 1, 4: 1}",0
