trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",25,0,-56.31705900188026,"{0: 15, 1: 6, 2: 4, 3: 0, 4: 0}",0
2,False,"{'a': 0.5, 'e': 1.0}",20,0,-2.5208081351706157,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 0}",0
3,False,"{'a': 0.5, 'e': 1.0}",25,0,-111.13159342896348,"{0: 16, 1: 1, 2: 6, 3: 1, 4: 1}",0
4,False,"{'a': 0.5, 'e': 1.0}",30,10,-39.43692848516361,"{0: 13, 1: 2, 2: 5, 3: 0, 4: 0}",1
5,False,"{'a': 0.5, 'e': 1.0}",20,0,-25.957752042156745,"{0: 15, 1: 1, 2: 4, 3: 0, 4: 0}",0
6,False,"{'a': 0.5, 'e': 1.0}",30,0,-235.8273452329453,"{0: 11, 1: 5, 2: 10, 3: 2, 4: 2}",0
7,False,"{'a': 0.5, 'e': 1.0}",20,0,-83.46554171160078,"{0: 12, 1: 3, 2: 4, 3: 0, 4: 1}",0
8,False,"{'a': 0.5, 'e': 1.0}",25,14,-0.6062892006697878,"{0: 9, 1: 1, 2: 1, 3: 0, 4: 0}",1
9,False,"{'a': 0.5, 'e': 1.0}",25,0,-133.65244218160657,"{0: 17, 1: 2, 2: 2, 3: 2, 4: 2}",0
10,False,"{'a': 0.5, 'e': 1.0}",30,0,-100.87234535951228,"{0: 18, 1: 3, 2: 7, 3: 2, 4: 0}",0
11,False,"{'a': 0.5, 'e': 1.0}",25,0,-169.49292596099144,"{0: 12, 1: 0, 2: 10, 3: 2, 4: 1}",0
12,False,"{'a': 0.5, 'e': 1.0}",20,0,-43.71069128283872,"{0: 14, 1: 1, 2: 5, 3: 0, 4: 0}",0
13,False,"{'a': 0.5, 'e': 1.0}",20,0,-154.48072770634397,"{0: 9, 1: 4, 2: 4, 3: 1, 4: 2}",0
14,False,"{'a': 0.5, 'e': 1.0}",30,0,-29.24807393603259,"{0: 25, 1: 0, 2: 4, 3: 1, 4: 0}",0
15,False,"{'a': 0.5, 'e': 1.0}",25,8,-94.6219347758512,"{0: 10, 1: 0, 2: 5, 3: 1, 4: 1}",1
16,False,"{'a': 0.5, 'e': 1.0}",20,0,-74.16377153492802,"{0: 11, 1: 3, 2: 5, 3: 1, 4: 0}",0
17,False,"{'a': 0.5, 'e': 1.0}",20,0,-128.91672514245033,"{0: 11, 1: 1, 2: 6, 3: 0, 4: 2}",0
18,False,"{'a': 0.5, 'e': 1.0}",20,0,-102.52209470226913,"{0: 11, 1: 3, 2: 4, 3: 1, 4: 1}",0
19,False,"{'a': 0.5, 'e': 1.0}",25,0,-114.059069516113,"{0: 12, 1: 2, 2: 10, 3: 1, 4: 0}",0
20,False,"{'a': 0.5, 'e': 1.0}",25,0,-107.5162147727215,"{0: 15, 1: 3, 2: 5, 3: 1, 4: 1}",0
1,True,"{'a': 0.5, 'e': 1.0}",30,0,-86.43474753931662,"{0: 19, 1: 2, 2: 8, 3: 1, 4: 0}",0
2,True,"{'a': 0.5, 'e': 1.0}",25,0,-88.48746955363396,"{0: 17, 1: 2, 2: 4, 3: 1, 4: 1}",0
3,True,"{'a': 0.5, 'e': 1.0}",30,11,-63.31725525782153,"{0: 14, 1: 1, 2: 2, 3: 1, 4: 1}",1
4,True,"{'a': 0.5, 'e': 1.0}",30,0,-197.1162312770999,"{0: 21, 1: 2, 2: 2, 3: 0, 4: 5}",0
5,True,"{'a': 0.5, 'e': 1.0}",20,0,-96.096921827687,"{0: 12, 1: 2, 2: 4, 3: 1, 4: 1}",0
6,True,"{'a': 0.5, 'e': 1.0}",20,0,-161.92804386195107,"{0: 11, 1: 1, 2: 5, 3: 0, 4: 3}",0
7,True,"{'a': 0.5, 'e': 1.0}",30,7,-185.61252751884132,"{0: 11, 1: 4, 2: 4, 3: 1, 4: 3}",1
8,True,"{'a': 0.5, 'e': 1.0}",35,0,-335.95568828340294,"{0: 17, 1: 4, 2: 7, 3: 1, 4: 6}",0
9,True,"{'a': 0.5, 'e': 1.0}",20,0,-70.8744114168741,"{0: 12, 1: 1, 2: 6, 3: 1, 4: 0}",0
10,True,"{'a': 0.5, 'e': 1.0}",20,0,-88.6612980815845,"{0: 12, 1: 2, 2: 5, 3: 0, 4: 1}",0
